Name,Age,Nationality,Overall,Position,Value,Preferred Foot,Height,Weight,Position_Type
A. Chambers,37,England,63,CM,120,Right,70,157,Midfield
J. Barny,28,Sweden,63,CM,375,Right,70,172,Midfield
M. Epps,23,United States,63,RM,500,Right,70,154,Midfield
O. Gaines,20,United States,63,LM,650,Right,71,163,Midfield
J. Wright,28,England,63,CM,375,Right,73,163,Midfield
P. Siegl,24,Austria,63,LCB,400,Right,73,165,Defense
M. Marrone,31,Australia,63,RB,240,Right,70,172,Defense
B. Rotenberg,32,Finland,63,RB,200,Right,74,185,Defense
S. Mmaee,21,Belgium,63,CB,450,Right,71,183,Defense
L. Andrenacci,23,Italy,63,GK,350,Right,74,170,Defense
T. Ishikawa,26,Japan,63,LCM,400,Right,69,146,Midfield
T. Baumgart,20,Germany,63,RM,600,Right,71,159,Midfield
T. Handwerker,20,Germany,63,LB,650,Left,72,179,Defense
Huang Zichang,21,China PR,63,RM,600,Right,68,148,Midfield
L. Pons,28,Argentina,63,LS,375,Right,71,165,Attack
G. Alucema,25,Chile,63,RB,375,Right,69,163,Defense
P. Heredia,28,Argentina,63,GK,300,Right,72,187,Defense
A. Cistana,21,Italy,63,CB,525,Right,70,172,Defense
S. Essende,20,France,63,ST,650,Right,76,192,Attack
A. Bakayoko,22,Sierra Leone,63,ST,500,Left,76,187,Attack
Montoro,23,Spain,63,RB,425,Right,71,176,Defense
Tang Shi,23,China PR,63,RM,525,Left,69,130,Midfield
S. Horemans,20,Belgium,63,CB,550,Right,72,159,Defense
J. Rodríguez,24,Argentina,63,CB,450,Right,74,168,Defense
O. Tounkara,28,France,63,RS,375,Right,73,176,Attack
Choi Jae Soo,35,Korea Republic,63,LCB,80,Left,69,150,Defense
J. McNerney,28,England,63,CB,325,Right,76,185,Defense
N. Fujita,31,Japan,63,CM,325,Right,69,159,Midfield
D. Giraldo,20,Colombia,63,CDM,725,Right,68,154,Midfield
J. Flores,22,England,63,CM,525,Right,71,165,Midfield
S. Gbegnon,26,Togo,63,CDM,400,Right,74,165,Midfield
G. Rogers,36,Republic of Ireland,63,GK,50,Right,74,192,Defense
Maximiano,23,Brazil,63,CDM,475,Right,71,165,Midfield
M. Al Dhaw,24,Sudan,63,RM,475,Right,67,148,Midfield
T. Schilk,26,Germany,63,RWB,375,Right,74,165,Defense
A. Sharahili,24,Saudi Arabia,63,CB,475,Left,73,165,Defense
S. Pawłowski,31,Poland,63,CAM,325,Right,69,152,Midfield
K. Schwertfeger,29,Germany,63,CDM,290,Right,74,172,Midfield
E. Baldini,21,Italy,63,LW,625,Right,70,161,Attack
O. Framelin,21,Cameroon,63,GK,375,Right,73,181,Defense
T. Conechny,20,Argentina,63,ST,825,Left,67,143,Attack
K. Osyra,25,Poland,63,CB,425,Right,75,165,Defense
F. Cernuto,26,Italy,63,CB,375,Right,71,159,Defense
N. Pierini,19,Italy,63,LW,800,Right,69,154,Attack
R. Uldrikis,20,Latvia,63,ST,825,Right,78,203,Attack
P. Wilson,21,Sweden,63,LW,600,Right,72,163,Attack
A. Dijksteel,21,Netherlands,63,RB,550,Right,72,159,Defense
S. Pérez,27,Chile,63,GK,290,Right,71,190,Defense
S. Larsen,30,Norway,63,LCB,270,Right,76,185,Defense
F. Barrientos,21,Chile,63,RM,700,Right,67,132,Midfield
J. Putze,23,Germany,63,CDM,425,Right,73,172,Midfield
A. Al Sulayhim,24,Saudi Arabia,63,CDM,425,Right,67,139,Midfield
Wanderson,29,Brazil,63,LM,350,Left,68,132,Midfield
L. García,20,Colombia,63,GK,425,Right,72,172,Defense
S. Pino,24,Chile,63,ST,525,Right,78,207,Attack
Y. Matsushita,24,Japan,63,LM,500,Left,69,148,Midfield
L. Rath,26,Austria,63,LCB,375,Left,72,176,Defense
E. Mjelde,34,Norway,63,CM,180,Left,71,163,Midfield
D. Buchanan,32,Northern Ireland,63,LB,200,Left,68,148,Defense
P. Pomykal,18,United States,63,RM,750,Left,67,146,Midfield
J. O'Brien,30,Scotland,63,CM,350,Right,70,141,Midfield
Y. Tanaka,32,Japan,63,RB,200,Right,71,170,Defense
B. Babiarz,29,Poland,63,CDM,290,Right,66,150,Midfield
M. Sans,30,France,63,CB,270,Right,75,190,Defense
Fran Cruz,27,Spain,63,CB,300,Right,72,161,Defense
S. Sama,25,Germany,63,CB,425,Right,74,192,Defense
D. Wiebe,24,Germany,63,CDM,400,Right,74,172,Midfield
Juan Hernández,23,Spain,63,RM,500,Left,70,159,Midfield
M. Spelmann,31,Denmark,63,RM,325,Right,69,159,Midfield
J. Beyer,18,Germany,63,RB,675,Right,74,176,Defense
S. Robinson,26,Scotland,63,LS,425,Right,66,150,Attack
O. Berg,24,Norway,63,CM,475,Right,70,163,Midfield
J. Arctander Moe,22,Norway,63,LB,475,Left,69,154,Defense
T. Hagn,23,Germany,63,LM,500,Left,73,179,Midfield
H. Camara,20,Saudi Arabia,63,ST,825,Right,72,179,Attack
Alberto Espeso,20,Spain,63,LB,575,Left,68,141,Defense
Kim Gun Hee,23,Korea Republic,63,ST,525,Right,72,157,Attack
S. Schimmer,24,Germany,63,LS,500,Right,73,165,Attack
Paulo Vitor,19,Brazil,63,RW,800,Right,66,143,Attack
David Alba,19,Spain,63,CB,550,Right,71,170,Defense
R. Hedges,22,Wales,63,RM,575,Left,73,143,Midfield
T. Moore,21,England,63,RCB,500,Right,72,176,Defense
W. Viitala,26,Finland,63,GK,350,Right,75,192,Defense
A. Al Najjar,21,Saudi Arabia,63,RM,650,Right,69,150,Midfield
Gonzalo Pereira,21,Spain,63,CB,475,Right,71,165,Defense
M. Ristl,21,Germany,63,CDM,450,Right,70,170,Midfield
J. Lungi Sørensen,20,Denmark,63,RCM,625,Right,71,163,Midfield
D. Tshiembe,26,Denmark,63,CB,375,Right,74,187,Defense
I. De Santis,21,Italy,63,CB,575,Right,72,183,Defense
L. Krogh Gerson,28,Luxembourg,63,CB,300,Right,74,168,Defense
V. Bindia,28,Senegal,63,RB,290,Right,66,152,Defense
A. Ferati,20,Germany,63,CAM,625,Left,67,157,Midfield
M. Penney,20,England,63,LB,725,Left,69,141,Defense
A. Ibrahimaj,26,Germany,63,RM,400,Right,71,163,Midfield
R. Lamie,25,Scotland,63,LWB,400,Left,74,187,Defense
J. Smith,31,England,63,CM,325,Right,72,172,Midfield
D. Soto,19,Chile,63,LB,700,Left,67,154,Defense
T. Vincensini,24,France,63,GK,375,Right,72,174,Defense
A. Al Barakah,27,Saudi Arabia,63,RCM,300,Right,69,152,Midfield
D. Barreto,25,Paraguay,63,CAM,475,Right,71,170,Midfield
A. Andrianarimanana,27,Madagascar,63,CM,425,Right,70,181,Midfield
Ricardo Schutte,20,Portugal,63,ST,575,Right,71,157,Attack
D. Jubitana,19,Belgium,63,CAM,650,Left,68,152,Midfield
M. Salas,20,Argentina,63,LM,600,Left,68,176,Midfield
C. Dummigan,22,Northern Ireland,63,RB,475,Right,71,154,Defense
R. Córdoba,28,Colombia,63,CB,325,Right,72,165,Defense
C. Lindquist,22,Norway,63,RB,450,Right,71,152,Defense
S. Donnellan,21,Republic of Ireland,63,CB,475,Right,72,152,Defense
D. Kozica,25,Sweden,63,RM,475,Right,71,172,Midfield
T. Ephestion,23,France,63,CM,500,Left,74,192,Midfield
W. Jordán,27,Colombia,63,ST,400,Right,71,192,Attack
F. Jagiełło,20,Poland,63,LDM,550,Right,71,165,Midfield
H. Storbæk,32,Norway,63,CM,280,Right,70,152,Midfield
M. Mandron,23,France,63,ST,525,Left,75,181,Attack
Robert Costa,24,Spain,63,CB,500,Right,72,176,Defense
Borja Fernández,22,Spain,63,LCM,550,Right,70,157,Midfield
Jang Dae Hee,24,Korea Republic,63,GK,400,Right,74,165,Defense
M. Barreiro,33,Argentina,63,ST,230,Right,68,172,Attack
Kang Ji Hoon,21,Korea Republic,63,RB,525,Right,70,137,Defense
M. Rasmussen,20,Norway,63,LW,525,Left,67,143,Attack
F. Barboza,21,Argentina,63,RW,650,Right,67,159,Attack
Fábio Ferreira,29,Portugal,63,RM,350,Right,70,159,Midfield
Lee Jin Hyun,20,Korea Republic,63,CM,600,Left,68,137,Midfield
L. Meisl,19,Austria,63,CB,575,Right,72,176,Defense
F. Lepore,32,Italy,63,RB,200,Right,70,161,Defense
A. Bah,20,Denmark,63,RM,650,Right,72,168,Midfield
F. Coniglio,26,Argentina,63,ST,450,Right,72,185,Attack
J. Hjorth,23,Denmark,63,CB,500,Right,76,183,Defense
E. Frederiksen,17,Denmark,63,CAM,725,Left,70,157,Midfield
G. Ingrosso,29,Italy,63,CB,325,Right,74,183,Defense
Ander Cantero,23,Spain,63,GK,375,Left,74,181,Defense
Bae Ki Jong,35,Korea Republic,63,LW,160,Right,71,165,Attack
Jorge Félix,26,Spain,63,LM,400,Right,68,137,Midfield
H. Akino,23,Japan,63,CDM,450,Left,69,150,Midfield
A. Layouni,25,Sweden,63,LW,450,Left,75,176,Attack
J. Salazar,21,Colombia,63,RM,800,Right,67,154,Midfield
M. Kallesøe,21,Denmark,63,RM,600,Right,76,176,Midfield
L. Sierra,30,Colombia,63,CDM,270,Right,69,174,Midfield
R. Guder,23,Germany,63,ST,525,Right,72,174,Attack
S. Bywater,37,England,63,GK,20,Right,73,179,Defense
A. Bangoura,22,Guinea,63,RM,550,Right,69,154,Midfield
Chema,20,Spain,63,CAM,650,Right,69,141,Midfield
O. Kudryk,21,Ukraine,63,GK,450,Right,73,157,Defense
D. Todorovic,21,Bosnia Herzegovina,63,RB,550,Right,69,150,Defense
D. Denić,22,Serbia,63,CM,575,Right,72,159,Midfield
P. Cowan-Hall,27,England,63,RM,375,Right,68,161,Midfield
P. McGinn,27,Scotland,63,RM,300,Right,69,150,Midfield
K. Bielik,20,Poland,63,CB,725,Right,74,172,Defense
D. Hümmet,21,Turkey,63,RS,525,Right,74,176,Attack
A. Mora,20,Mexico,63,CB,475,Left,75,179,Defense
K. Magennis,19,Scotland,63,CM,775,Right,70,161,Midfield
J. Mountney,25,Republic of Ireland,63,RM,475,Right,72,161,Midfield
P. Pflücke,21,Germany,63,CAM,625,Left,67,146,Midfield
N. Falasco,24,Italy,63,LB,375,Left,72,174,Defense
A. Skovgaard,21,Denmark,63,CB,525,Left,72,165,Defense
F. Al Yamani,28,Saudi Arabia,63,CDM,300,Right,70,161,Midfield
C. Maboulou,28,Congo,63,CAM,375,Right,73,174,Midfield
R. McCabe,25,Scotland,63,RCM,450,Right,68,163,Midfield
M. McNulty,37,Republic of Ireland,63,GK,20,Right,73,163,Defense
L. Corti,37,Argentina,63,GK,20,Right,71,170,Defense
E. Parish,28,England,63,GK,300,Right,74,183,Defense
R. Tongyik,21,Australia,63,CB,475,Right,73,176,Defense
Bolaños,23,Spain,63,CM,550,Right,74,157,Midfield
W. Meyiwa,18,South Africa,63,CM,750,Right,68,143,Midfield
D. Reimann,21,Germany,63,GK,450,Right,73,176,Defense
T. Heintz,19,Norway,63,LM,625,Right,68,152,Midfield
K. Dermaku,26,Albania,63,RCB,375,Left,77,196,Defense
A. Mendes Moreira,23,Netherlands,63,LM,500,Left,70,154,Midfield
K. Seki,32,Japan,62,GK,170,Right,70,168,Defense
M. Doucouré,20,France,62,CB,600,Left,72,172,Defense
S. Beusnard,26,France,62,CAM,350,Right,67,139,Midfield
J. Kamber,26,Switzerland,62,LB,300,Left,67,143,Defense
G. Mutombo,22,France,62,CB,375,Right,73,165,Defense
B. Lubala,20,DR Congo,62,CAM,675,Right,70,161,Midfield
S. Zizzo,31,United States,62,RB,200,Right,70,165,Defense
A. Horwath,31,United States,62,GK,180,Right,75,194,Defense
R. Healey,23,England,62,LW,425,Right,69,159,Attack
O. Muzayil,25,Saudi Arabia,62,RB,300,Right,68,134,Defense
A. Taylor,32,England,62,LB,170,Left,71,168,Defense
A. Sosa,18,Argentina,62,CB,475,Right,70,168,Defense
J. Cruz,19,Mexico,62,CB,450,Right,72,172,Defense
Jordi Sánchez,23,Spain,62,ST,425,Right,75,179,Attack
Wan Houliang,32,China PR,62,LCB,170,Right,74,176,Defense
J. Morrell,21,Wales,62,CM,475,Right,66,141,Midfield
R. Macek,21,Czech Republic,62,CM,525,Right,74,176,Midfield
Idrisa Sambú,20,Portugal,62,LM,525,Right,71,172,Midfield
D. Steininger,23,Germany,62,RM,450,Right,74,174,Midfield
M. Kuleli,20,Turkey,62,GK,400,Right,72,176,Defense
K. Duncan,20,United States,62,RB,475,Right,70,150,Defense
M. Eskihellaç,21,Turkey,62,LM,450,Right,69,159,Midfield
Bruno Michel,19,Brazil,62,CAM,525,Left,65,157,Midfield
L. Nolan,23,Northern Ireland,62,CM,400,Right,69,152,Midfield
H. Futami,26,Japan,62,CB,260,Left,70,165,Defense
D. Otto,19,Germany,62,ST,650,Right,73,181,Attack
Quique Cebriá,23,Spain,62,GK,350,Right,72,154,Defense
D. Granli,24,Norway,62,RCB,375,Right,74,172,Defense
J. Vargas,23,Costa Rica,62,CB,375,Right,76,190,Defense
Túlio Nevinha,30,Brazil,62,CB,230,Right,74,176,Defense
D. Sappa,23,Argentina,62,GK,350,Right,76,201,Defense
Emilio Bernad,18,Spain,62,GK,500,Right,72,152,Defense
Murilo Mendes,23,Brazil,62,RS,425,Right,70,161,Attack
J. Obrian,23,Colombia,62,RM,425,Right,72,161,Midfield
M. Nicolas,20,Germany,62,GK,550,Right,76,192,Defense
J. Möbius,21,Germany,62,CAM,525,Right,70,161,Midfield
Thallyson,26,Brazil,62,LB,290,Left,69,150,Defense
C. Kobald,20,Austria,62,CB,400,Right,73,176,Defense
J. Gray,22,England,62,RM,400,Right,71,154,Midfield
S. Nelson,36,England,62,GK,40,Right,74,185,Defense
D. Sołdecki,31,Poland,62,CDM,200,Right,73,172,Midfield
M. Hongla,20,Cameroon,62,CB,400,Right,72,170,Defense
V. Dragomir,19,Romania,62,CAM,650,Left,70,148,Midfield
D. Schmidt,26,Japan,62,GK,260,Right,77,198,Defense
Ayala,21,Spain,62,CB,400,Right,74,170,Defense
N. Erlbeck,25,Germany,62,CM,375,Left,72,174,Midfield
D. Gallagher,27,Scotland,62,RCB,300,Right,77,190,Defense
M. Hauptmeijer,21,Netherlands,62,GK,375,Right,75,154,Defense
A. Granlund,28,Finland,62,LWB,240,Right,70,174,Defense
Kim Dong Min,23,Korea Republic,62,LB,350,Right,71,159,Defense
F. Kusić,22,Serbia,62,CB,425,Right,72,172,Defense
A. Sorge,25,Germany,62,CB,350,Right,76,181,Defense
F. Venegas,19,Mexico,62,CB,500,Left,71,174,Defense
R. Shinzato,27,Japan,62,CB,290,Right,72,154,Defense
Borja Estepa,19,Spain,62,ST,575,Right,67,152,Attack
M. Solheim,30,Norway,62,LB,220,Right,70,168,Defense
G. Rea,23,Republic of Ireland,62,CDM,375,Right,72,161,Midfield
Rubén Mesa,26,Spain,62,ST,375,Right,72,165,Attack
M. Browne,20,England,62,LM,675,Right,70,163,Midfield
S. Morishita,32,Japan,62,CB,170,Right,70,157,Defense
O. Kabak,18,Turkey,62,RCB,575,Right,73,165,Defense
A. Pikk,25,Estonia,62,LB,325,Left,69,159,Defense
N. Espinoza,22,Chile,62,GK,350,Right,75,185,Defense
A. Ahmed,29,Sweden,62,LCM,290,Right,68,141,Midfield
H. Bilal,20,Turkey,62,LM,550,Left,69,154,Midfield
J. Soto,26,Chile,62,RB,300,Right,69,165,Defense
M. Léris,20,France,62,ST,675,Right,73,172,Attack
M. Maier,22,Austria,62,LM,425,Right,69,139,Midfield
F. Hornby,18,Scotland,62,ST,625,Right,74,170,Attack
F. Adu Kwame,33,Ghana,62,LB,120,Left,71,174,Defense
M. Hamoud,33,Norway,62,LB,120,Right,70,152,Defense
I. Alba,23,Colombia,62,RB,325,Left,69,157,Defense
A. López,19,Netherlands,62,RW,575,Right,69,161,Attack
A. Akinyemi,19,Nigeria,62,ST,650,Right,74,181,Attack
M. Gutiérrez,26,Uruguay,62,RM,350,Right,68,141,Midfield
G. Diaz,24,Chile,62,LB,325,Left,67,143,Defense
R. ten Hove,20,Netherlands,62,GK,475,Right,76,165,Defense
Pedro Neto,18,Portugal,62,ST,625,Left,68,139,Attack
C. Fagan,29,Republic of Ireland,62,ST,300,Right,69,146,Attack
M. Clayton,23,England,62,ST,425,Right,69,154,Attack
M. Litka,22,Germany,62,RM,500,Left,71,150,Midfield
J. McGing,24,Australia,62,RB,325,Right,72,163,Defense
J. Jiménez,24,Colombia,62,CDM,375,Right,69,159,Midfield
Li Peng,27,China PR,62,RCB,300,Right,74,176,Defense
Carlos Gracia,25,Spain,62,RCB,350,Right,72,176,Defense
R. Hernández,20,Venezuela,62,RB,600,Right,67,154,Defense
E. Yeşilyurt,24,Germany,62,RM,375,Right,70,159,Midfield
A. Jones,20,England,62,RCB,475,Right,72,154,Defense
G. Piscitella,25,Italy,62,LW,350,Right,71,152,Attack
Samuel Manchón,21,Spain,62,RM,550,Right,67,139,Midfield
H. Silveira,25,Uruguay,62,ST,400,Right,74,181,Attack
Andrés Martín,18,Spain,62,ST,625,Right,69,159,Attack
J. Labadie,27,England,62,CM,300,Right,74,196,Midfield
P. Kristensen,31,Denmark,62,RB,200,Right,68,150,Defense
D. Agyei,21,England,62,ST,475,Left,72,170,Attack
N. Fofana,28,France,62,RWB,240,Right,72,172,Defense
A. Golec,28,Australia,62,LCB,250,Left,75,187,Defense
C. Pérez,23,Colombia,62,LCB,450,Right,73,174,Defense
S. Hendrie,23,Scotland,62,LB,325,Left,70,154,Defense
J. Porsan-Clémenté,20,France,62,ST,450,Right,70,152,Attack
F. Valenčič,26,Slovenia,62,CAM,375,Left,72,179,Midfield
K. Marsh-Brown,25,England,62,RM,350,Right,73,168,Midfield
P. Retre,25,Australia,62,RM,300,Right,70,165,Midfield
G. Woods,28,England,62,GK,240,Right,73,172,Defense
M. Konradsen,22,Norway,62,CM,450,Right,69,159,Midfield
R. Hardie,21,Scotland,62,ST,550,Right,74,165,Attack
S. Gronsveld,22,Netherlands,62,RB,375,Right,68,132,Defense
L. Dodds,31,England,62,ST,270,Right,70,176,Attack
M. Shabani,19,Germany,62,CAM,575,Right,73,159,Midfield
J. McGlashan,30,England,62,RM,290,Right,67,132,Midfield
T. Soares,31,England,62,RCM,260,Right,72,159,Midfield
S. Dawson,32,Republic of Ireland,62,CM,230,Right,72,157,Midfield
T. Matsuura,29,Japan,62,LF,300,Right,66,141,Attack
D. Pelivan,22,Germany,62,CAM,400,Right,73,161,Midfield
B. Heneghan,24,England,62,CB,350,Right,77,174,Defense
M. Agger,25,Denmark,62,ST,375,Right,71,161,Attack
B. Waters,23,England,62,RM,375,Right,68,161,Midfield
N. Delgadillo,20,Argentina,62,LW,675,Left,70,154,Attack
T. Campanini,19,France,62,RB,375,Right,70,159,Defense
K. Larson,26,Sweden,62,RB,290,Right,69,154,Defense
A. Boupendza,21,Gabon,62,ST,500,Right,71,174,Attack
J. Hernández,21,Venezuela,62,LB,400,Left,67,157,Defense
R. Mahazi,26,Australia,62,CDM,325,Right,70,165,Midfield
S. Kurt,21,Germany,62,LM,425,Left,68,157,Midfield
I. Al Maghrabi,26,Saudi Arabia,62,ST,375,Right,69,154,Attack
G. Perrulli,33,Italy,62,LW,180,Right,67,157,Attack
K. Memija,22,Bosnia Herzegovina,62,RWB,375,Right,70,165,Defense
S. McGinn,29,Scotland,62,RCM,290,Right,71,176,Midfield
Kim Keun Hoan,31,Korea Republic,62,CDM,200,Right,76,190,Midfield
M. Raynes,30,England,62,CB,230,Right,76,168,Defense
C. Rocchia,20,France,62,LB,600,Left,68,141,Defense
J. Dunne,28,England,62,RCM,300,Right,71,168,Midfield
Hou Sen,29,China PR,62,GK,250,Right,74,179,Defense
Min Junlin,24,China PR,62,RCM,375,Right,69,154,Midfield
I. Escobar,22,Argentina,62,LB,350,Left,68,139,Defense
Pepê,20,Brazil,62,CAM,575,Right,67,150,Midfield
D. Johnson,19,England,62,CB,600,Right,73,176,Defense
L. Gil,24,United States,62,CM,400,Right,70,154,Midfield
B. Haunstrup,21,England,62,LB,450,Left,68,165,Defense
Lee Dong Su,24,Korea Republic,62,CM,425,Right,73,159,Midfield
Q. Bena,20,France,62,RB,425,Right,73,174,Defense
H. Türkmen,20,Turkey,62,CB,400,Right,72,172,Defense
B. Kyere,23,Ghana,62,CB,375,Right,74,196,Defense
L. Pintor,17,France,62,ST,675,Right,70,146,Attack
Eric García,17,Spain,62,CB,550,Right,72,174,Defense
A. Solano,20,Colombia,62,RB,425,Right,69,154,Defense
C. Harold,25,Australia,62,RM,350,Right,69,172,Midfield
I. Gelios,26,Greece,62,GK,270,Right,75,168,Defense
D. Kudła,26,Poland,62,GK,270,Right,74,185,Defense
Lee Sang Ki,22,Korea Republic,62,RB,375,Right,70,174,Defense
W. Omsberg,22,United States,62,CB,425,Right,76,179,Defense
B. Schwarz,31,Germany,62,CDM,200,Left,71,165,Midfield
R. Koczor,29,Germany,62,GK,240,Right,76,172,Defense
T. Cicek,26,Turkey,62,ST,375,Left,70,157,Attack
A. Mehring,24,Argentina,62,GK,325,Right,75,181,Defense
M. Briceño,22,Chile,62,RW,525,Right,71,165,Attack
P. Hellquist,27,Sweden,62,LW,350,Right,72,161,Attack
L. Dennis,25,England,62,CAM,375,Right,73,152,Midfield
M. Baude,28,Germany,62,RB,240,Right,70,168,Defense
L. Moneta,24,Poland,62,LM,400,Left,68,154,Midfield
S. Hyodo,32,Japan,62,CM,230,Right,68,150,Midfield
S. Økland,25,Norway,62,CM,375,Right,70,150,Midfield
L. Sapela,35,Poland,62,GK,70,Left,73,179,Defense
J. Tell,21,France,62,LM,475,Right,73,163,Midfield
A. Altuna,26,Argentina,62,CDM,325,Right,72,163,Midfield
A. Rizzo,21,Italy,62,LM,500,Left,69,154,Midfield
L. Thomas,19,England,62,RM,650,Right,66,146,Midfield
R. Schlegel,21,Argentina,62,CB,475,Right,73,181,Defense
D. Montoya,22,Colombia,62,LB,350,Right,71,157,Defense
Lee Min Gi,25,Korea Republic,62,LB,325,Left,69,157,Defense
C. Maloney,23,United States,62,RB,350,Right,66,146,Defense
A. Taylor-Sinclair,27,Scotland,62,LB,280,Left,74,181,Defense
R. Al Ebrahim,24,Saudi Arabia,62,LM,425,Right,68,152,Midfield
B. Castrillon,19,Colombia,62,RM,650,Right,68,137,Midfield
Kim Kyung Jung,27,Korea Republic,62,LW,325,Right,70,157,Attack
S. Cibois,20,France,62,GK,550,Right,76,181,Defense
M. Hiller,21,Germany,62,GK,325,Right,74,187,Defense
D. Kopacz,19,Poland,62,CAM,650,Right,71,154,Midfield
H. Massengo,16,France,62,CDM,450,Right,70,146,Midfield
Jo Jae Cheol,32,Korea Republic,62,CM,230,Right,69,139,Midfield
M. Schimpelsberger,27,Austria,62,RB,250,Right,71,161,Defense
M. Juel Andersen,20,Denmark,62,CB,450,Right,76,181,Defense
F. Cobos,25,Argentina,62,LB,325,Left,70,183,Defense
D. van der Heijden,21,Netherlands,62,ST,500,Right,76,165,Attack
P. Soiri,23,Finland,62,RM,425,Right,72,139,Midfield
J. Yeboah,18,Germany,62,LM,675,Left,67,154,Midfield
M. Taylor,36,England,62,CDM,30,Left,70,161,Midfield
O. Zawada,22,Poland,62,ST,400,Right,76,183,Attack
L. Ndukwu,19,England,62,RM,650,Left,70,159,Midfield
M. Mudryk,17,Ukraine,62,CAM,650,Right,69,134,Midfield
V. Belon,23,France,62,GK,290,Right,71,170,Defense
Callejón,20,Spain,62,CM,525,Left,72,150,Midfield
R. Edwards,24,Australia,62,LM,375,Right,69,161,Midfield
A. Khrees,27,Saudi Arabia,62,RB,250,Right,70,161,Defense
O. Hawsawi,24,Saudi Arabia,62,RB,325,Left,70,172,Defense
M. Owusu,23,Germany,62,RM,425,Right,75,170,Midfield
L. Hurtado,23,Colombia,62,RM,425,Right,70,168,Midfield
F. Ibargüen,24,Colombia,62,CB,375,Right,72,170,Defense
A. Boniotti,23,Italy,62,RB,350,Right,70,159,Defense
Y. Kobayashi,32,Japan,62,RB,170,Right,69,159,Defense
A. Porcino,23,Italy,62,LB,400,Left,69,157,Defense
G. MacKenzie,32,Scotland,62,CB,170,Right,75,183,Defense
Pedro López,21,Spain,62,CB,450,Right,70,154,Defense
J. Livolant,20,France,62,CAM,575,Right,69,154,Midfield
D. Avdić,29,Sweden,62,CM,290,Right,76,203,Midfield
Zhu Baojie,28,China PR,62,LM,300,Right,69,143,Midfield
P. Mingoia,26,England,62,RM,325,Right,67,154,Midfield
J. Hernández,23,Mexico,62,RM,375,Right,67,143,Midfield
A. Poulsen,18,Denmark,62,LB,550,Left,74,176,Defense
C. Butcher,27,England,62,CM,350,Right,74,183,Midfield
S. Antonio,23,Switzerland,62,GK,325,Right,73,172,Defense
D. Santa,26,Colombia,62,CDM,300,Right,69,159,Midfield
H. Ishige,23,Japan,62,LM,400,Right,67,152,Midfield
M. Woolford,32,England,62,LM,240,Left,72,163,Midfield
C. Højer Nielsen,23,Denmark,62,LB,350,Left,72,170,Defense
Yeo Seong Hae,30,Korea Republic,62,CB,230,Right,73,179,Defense
E. Ortega,21,Mexico,62,CM,475,Right,69,134,Midfield
M. Fritz,24,Germany,62,LB,325,Right,76,185,Defense
E. Valla Dønnem,27,Norway,62,CM,260,Right,72,176,Midfield
G. Asís,22,Argentina,62,RB,450,Right,69,143,Defense
L. Abdulahi,22,Netherlands,62,CM,450,Right,70,132,Midfield
N. Townsend,23,England,62,GK,325,Right,71,176,Defense
J. Sinclair,21,England,62,ST,525,Right,71,174,Attack
B. Al Mutairi,28,Saudi Arabia,62,LB,240,Left,66,110,Defense
Sillero,20,Spain,62,RB,475,Right,69,174,Defense
A. Gryszkiewicz,18,Poland,62,LB,475,Left,73,179,Defense
Jon Bakero,21,Spain,62,CF,425,Right,75,165,Attack
Gao Di,28,China PR,62,ST,325,Right,70,165,Attack
R. Charles-Cook,24,England,62,GK,270,Right,73,176,Defense
Kim Do Hyung,27,Korea Republic,62,RM,325,Right,71,154,Midfield
D. Mazzocco,22,Italy,62,CM,400,Right,73,179,Midfield
J. Koutroumbis,20,Australia,62,CB,425,Right,72,161,Defense
J. Pretel,23,Colombia,62,RB,350,Right,69,159,Defense
Guerrero,20,Spain,62,LB,375,Left,69,163,Defense
K. Nowak,23,Poland,62,RM,400,Right,69,152,Midfield
J. Kade,19,Germany,62,CAM,650,Left,71,148,Midfield
W. Miller,22,England,62,LM,475,Right,66,146,Midfield
B. Šerbečić,20,Bosnia Herzegovina,62,CB,600,Right,76,176,Defense
G. Fuentes,21,Colombia,62,LB,400,Left,71,163,Defense
J. Coppens,27,Belgium,62,GK,250,Left,75,176,Defense
L. Maniero,23,Italy,62,GK,300,Right,74,196,Defense
S. Antonijevic,29,United States,62,CB,240,Left,78,194,Defense
J. Zwarts,19,Netherlands,62,ST,650,Left,73,163,Attack
Sun Shilin,29,China PR,62,RDM,240,Right,70,159,Midfield
L. Rodríguez,23,Colombia,62,CB,350,Right,72,154,Defense
R. Fergonzi,29,Argentina,62,ST,300,Right,70,172,Attack
M. Makasi,22,England,62,CM,425,Right,71,159,Midfield
A. Pelvas,29,Finland,62,ST,300,Left,71,170,Attack
T. Rocha,24,United States,62,LB,350,Right,69,165,Defense
H. Suárez,24,Colombia,62,CDM,375,Right,67,146,Midfield
A. Oviedo,22,Paraguay,62,ST,425,Right,71,154,Attack
M. Carraro,20,Italy,62,CDM,650,Left,74,163,Midfield
Hugo Duro,18,Spain,62,ST,550,Left,71,165,Attack
Cao Yang,36,China PR,62,RCB,40,Left,74,176,Defense
K. McHattie,24,Scotland,62,LB,350,Left,71,161,Defense
N. Pelaitay,25,Argentina,62,CDM,350,Right,66,163,Midfield
U. Torres,20,Mexico,62,LB,450,Left,69,141,Defense
Javi Mier,19,Spain,62,CAM,650,Right,69,143,Midfield
